,uuid,screen_name,created_at,followers,location,favorite,retweet,source,text
47,64706644-7327-11ed-9583-ab47568012fa,SixSilverSpoons,2022-12-03 16:20:53, 100,"Florida, USA", 0, 0, Twitter Web App," Here is [#Bitcoin &amp; #Oil] vs [#Gold &amp; #Silver]

Watching the model to see if it bounces. https://t.co/0NrJ7mC6L6"
48,6a2323c1-7327-11ed-9583-ab47568012fa,mido_catic,2022-12-03 16:18:03, 113,, 0, 237, Twitter for iPhone," RT @BitcoinMagazine: Fiat in Venezuela is so worthless people leave it on the streets 

🇻🇪 needs #Bitcoin https://t.co/EbWUIf0QVm"
49,751c2155-7327-11ed-9583-ab47568012fa,Tiyo0p,2022-12-03 16:14:33, 3,, 0, 886, Twitter for Android," RT @BrokexFi: 🔸️ Drop your BEP-20 Wallet address, you might get surprised !

Follow and retweet !

#AirdropCrypto #Bitcoin #Ethereum #Binan…"
50,67e19831-7327-11ed-9583-ab47568012fa,bmd49875256,2022-12-03 16:18:18, 94,, 0, 1435, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
51,750516e0-7327-11ed-9583-ab47568012fa,MarcelCardenal,2022-12-03 16:14:57, 271,Not Financial Advice, 0, 0, Twitter Web App, Max Keiser exposes the distortions in the financial system with Tucker Carlson. Max explains how #Bitcoin fixes thi… https://t.co/TRuzTuKpaH
52,678f0b60-7327-11ed-9583-ab47568012fa,coldstorix,2022-12-03 16:19:15, 1002,Gaulish Village, 0, 28, Twitter Web App, RT @saifedean: Michael is one of the most knowledgeable people on bitcoin &amp; Austrian economics. I’ve learned a lot from him &amp; really look f…
53,71db7540-7327-11ed-9583-ab47568012fa,andredenis09,2022-12-03 16:15:40, 609,Estados Unidos, 0, 1441, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
54,67cd73f1-7327-11ed-9583-ab47568012fa,GMC_NFTf,2022-12-03 16:18:40, 19,Ethereum linktr.ee/gangstamice, 0, 159, Twitter for Android," RT @lucasvelascook: What should i buy in 2023? 
#Gold or #Bitcoin? 🚀🔥"
55,82a2f5b0-7327-11ed-9583-ab47568012fa,Andreamelk1,2022-12-03 16:09:48, 29,, 0, 1459, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
56,7f7bec24-7327-11ed-9583-ab47568012fa,MallickM86,2022-12-03 16:10:46, 223,, 0, 0, Twitter for Android," @DinoDapps Future bright project!!! We hope this project will shine in future. Good luck for this project❤️

Recomm… https://t.co/x47LqmYeWK"
57,6476a7d2-7327-11ed-9583-ab47568012fa,Racik432D,2022-12-03 16:20:31, 4,, 0, 1427, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
58,7831ecd3-7327-11ed-9583-ab47568012fa,AgboolaToju,2022-12-03 16:13:16, 90,"Lagos, Nigeria", 0, 187, Twitter for Android," RT @StockmoneyL: Tick Tock, Tick Tock🍹 

#Bitcoin https://t.co/W4DYGLSYkP"
59,8280046a-7327-11ed-9583-ab47568012fa,sats_4ever,2022-12-03 16:10:28, 58,, 0, 0, Twitter Web App," @SovrynM @evoskuil Most of the time I hear this line about Bitcoin as the ""best collateral"", it's from people who a… https://t.co/gGjaCTAWmL"
60,646087c2-7327-11ed-9583-ab47568012fa,cryptowise_fin,2022-12-03 16:21:31, 1609,, 0, 0, Plethora_Analysis," 🧐 Top Cashtags in Thorchain Tweets 🧐
    
Most mentioned cashtags in #Thorchain tweets!

N tweets analyzed: 10000… https://t.co/wdk5Nr5Cts"
61,782eb880-7327-11ed-9583-ab47568012fa,crashof2016,2022-12-03 16:13:30, 400,, 0, 0, Twitter for iPhone, @ChristophSouza @VillageIdiot136 @Brendelbored I have owned bitcoin for over 10 years. So clearly I’m right about that.
62,64793fe0-7327-11ed-9583-ab47568012fa,erotichoclit,2022-12-03 16:20:01, 13,, 0, 1429, Twitter Web App, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
63,71c88983-7327-11ed-9583-ab47568012fa,0xEthereumYoda,2022-12-03 16:15:53, 435,, 1, 0, Twitter Web App," #Ethereum price update: 

#ETH $1271.73 USD
#Bitcoin 0.07495401 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto"
64,6d711643-7327-11ed-9583-ab47568012fa,RD_btc,2022-12-03 16:17:08, 26888,The Moon obvs, 0, 4, Twitter for iPhone, RT @CoinbitsApp: People who leave their #bitcoin on exchanges be like: https://t.co/TewGgum1nI
65,647d5e90-7327-11ed-9583-ab47568012fa,yznexe,2022-12-03 16:19:32, 398,Blockchain, 0, 1432, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
66,7b7b9994-7327-11ed-9583-ab47568012fa,reypoullard,2022-12-03 16:11:38, 1885,Proof-Of-Work (PoW)  ➠  SOON, 0, 4, Twitter for Android, RT @BitcoinSapiens: The supply shock will be more shocking than you think. #Bitcoin
67,7f76bc03-7327-11ed-9583-ab47568012fa,pmeneses1,2022-12-03 16:10:59, 361,"Miami, FL", 0, 239, Twitter for iPhone," RT @BitcoinMagazine: Fiat in Venezuela is so worthless people leave it on the streets 

🇻🇪 needs #Bitcoin https://t.co/EbWUIf0QVm"
68,644ead70-7327-11ed-9583-ab47568012fa,OneDoves,2022-12-03 16:22:08, 29,Planet Earth, 0, 1424, Twitter Web App, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
69,64671771-7327-11ed-9583-ab47568012fa,mataleo88,2022-12-03 16:21:26, 136,"Bandar Kuala Lumpur, Wilayah P", 0, 41, Twitter for Android," RT @Ashcryptoreal: If anyone is scared right now because of this bad market and uncertainty, just remember #Bitcoin crashed from $20,000 to…"
70,645e8bf2-7327-11ed-9583-ab47568012fa,mex85770902,2022-12-03 16:21:33, 22,, 0, 157, Twitter for Android," RT @lucasvelascook: What should i buy in 2023? 
#Gold or #Bitcoin? 🚀🔥"
71,64774412-7327-11ed-9583-ab47568012fa,fatboycrypto_,2022-12-03 16:20:22, 232,, 0, 0, Twitter for iPhone, @kevinolearytv will become the next #Bitcoin maxi. I’m calling it.
72,829efe11-7327-11ed-9583-ab47568012fa,18Setyo,2022-12-03 16:09:53, 212,Madiun, 0, 1459, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
73,64706640-7327-11ed-9583-ab47568012fa,BoB_Assiniwe,2022-12-03 16:20:54, 33,Cryptoquant.com, 0, 536, Twitter Web App," RT @DeFiReb: 🔥#Bitcoin $BTC #Giveaway Time!!!🔥
🚀3 Winners, $50 Each

1 to a Twitter follower 
1 to a person who is following us on YouTube…"
74,754af982-7327-11ed-9583-ab47568012fa,kichavoo3,2022-12-03 16:13:56, 34,, 0, 1444, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
75,8d17f634-7327-11ed-9583-ab47568012fa,btc_status,2022-12-03 16:07:10, 46044,Japan, 0, 1, BTC Status Bot," 🌐 BITCOIN - CME

Daily：2022-12-02
　Price：$16,995 (+1%)
　Vol：4,191 (-34.6%)
　OI：15,889 (-0.9%)

📄 COT Report：2022-11… https://t.co/fwut8vkQjA"
76,6470b460-7327-11ed-9583-ab47568012fa,theinmortal23,2022-12-03 16:20:47, 41,, 0, 1426, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
77,8a3f81d7-7327-11ed-9583-ab47568012fa,MinTanjim,2022-12-03 16:07:14, 655,, 0, 338, Twitter for Android," RT @DappsDino: DinoDapps (DINO) Airdrop 
Total Rewards : 30,000,000 DINO 
Winners : 2,000 Random 
End : 01-03-2023 
Dist : 15-03-2023 

Air…"
78,829eb008-7327-11ed-9583-ab47568012fa,juan5844,2022-12-03 16:10:05, 11,México, 0, 1458, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
79,647177b0-7327-11ed-9583-ab47568012fa,CURTISSCOTT1982,2022-12-03 16:20:42, 175,"Albany, OR", 0, 38, Twitter for iPhone," RT @giftlovej: I want to send someone $13,000 drop your cashapp PayPal or bitcoin"
80,6a5c3520-7327-11ed-9583-ab47568012fa,pumpcoininfo,2022-12-03 16:17:28, 1114,, 0, 0, pumpcoin.info/, #VGXUSDT % -1.66 decrease in last 10 seconds price: 0.47400000 #VGX #Bitcoin Bitcoin #BTC
81,86476cab-7327-11ed-9583-ab47568012fa,mcw1599,2022-12-03 16:08:48, 988,Crypto-moon HQ 🌚🚀, 0, 1461, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
82,6422e280-7327-11ed-9583-ab47568012fa,ZivanaTisya,2022-12-03 16:23:06, 52,Indonesia, 0, 1422, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
83,67e87603-7327-11ed-9583-ab47568012fa,irfansamoali,2022-12-03 16:18:12, 95,, 0, 2766, Twitter for Android," RT @NFTHolders_org: $80 - 24 HOURS

- RT Like &amp; Complete all tasks below 

✅ Sign Up on Premint 👉 https://t.co/biXJkNVh3c

✅ Register for t…"
84,827f6822-7327-11ed-9583-ab47568012fa,ecdegroot,2022-12-03 16:10:40, 306,"Utrecht, the Netherlands", 0, 247, Twitter Web App," RT @100trillionUSD: Less than 1% of bitcoin usage is associated with ""crime"". https://t.co/ghkeITahhL"
85,6796ac81-7327-11ed-9583-ab47568012fa,BitShibaNft,2022-12-03 16:19:11, 68,India, 0, 1433, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
86,6da852e2-7327-11ed-9583-ab47568012fa,fredolin,2022-12-03 16:16:40, 371,bc1qpav3arnvq88avnvj79k7qzgupg, 0, 669, Twitter Web App," RT @BitcoinMagazine: JUST IN: There are now ~1,000,000 addresses that hold 1 full #bitcoin 🚀 https://t.co/BGjrfW5YZS"
87,7b668af4-7327-11ed-9583-ab47568012fa,mlistel97,2022-12-03 16:12:43, 4,R-F-A-I, 0, 0, Twitter Web App," #Bitcoin 

I want to be honest, there is no reason why people owning the financial system like banks will not take… https://t.co/JEcbCXSTi2"
88,644585b2-7327-11ed-9583-ab47568012fa,0coolterminal,2022-12-03 16:22:19, 47,Sydney, 0, 0, Twitter for Android, @pidhe_somz @johnbcdoe @LayahHeilpern It doesn't matter who created it. What matters is how Bitcoin works. It canno… https://t.co/A02UDYDSGU
89,7f76bc0b-7327-11ed-9583-ab47568012fa,_AlKrap1,2022-12-03 16:10:56, 67,, 0, 1454, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
90,67a50460-7327-11ed-9583-ab47568012fa,dickspermana,2022-12-03 16:18:50, 446,On your girlfriend's bed, 0, 1434, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
91,7513e3f4-7327-11ed-9583-ab47568012fa,JesseClaire5,2022-12-03 16:14:53, 19,, 0, 1444, Twitter Web App, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
92,7831ecd9-7327-11ed-9583-ab47568012fa,Juha72Juha,2022-12-03 16:13:15, 249,, 0, 20, Twitter for iPhone, RT @cryptorecruitr: I think soon crypto communities will begin coming together more to encourage each other towards innovation. That’s my h…
93,7f7694fb-7327-11ed-9583-ab47568012fa,mido_catic,2022-12-03 16:11:06, 113,, 0, 105, Twitter for iPhone," RT @JeffBooth: #Bitcoin ensures that the technology that should free you, isn’t used to enslave you."
94,67e89d12-7327-11ed-9583-ab47568012fa,der_strohhut,2022-12-03 16:18:10, 14,, 1, 0, Twitter for iPhone, @elonmusk So much useless Energy consumption. At the End we dont Need Twitter at all. Its a toilet time usage. So.… https://t.co/jMp27OnFL9
95,7835e474-7327-11ed-9583-ab47568012fa,Nigdi10,2022-12-03 16:12:49, 10,, 0, 194, Twitter for Android," RT @icsmen: Let's see if i was right for $BTC 😎

$MGLD will 🚀

#btc #bnb #bitcoin #binance #trade #crypto #multiversx #mgld #xgld https://t…"
96,75173f50-7327-11ed-9583-ab47568012fa,Selec_Artz,2022-12-03 16:14:47, 868,Venezuela, 0, 1444, Twitter Web App, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
97,8d1696a0-7327-11ed-9583-ab47568012fa,czystek9,2022-12-03 16:07:12, 20,, 0, 1409, Twitter Web App, RT @munblockchain: The goal of MUN is to offer free P2P money transfers for humankind by disrupting a $900B remittance industry (real-world…
98,7b757f1a-7327-11ed-9583-ab47568012fa,house_satoshi,2022-12-03 16:12:02, 904,"Langstrasse 136, Zurich", 0, 239, Twitter for Android," RT @BitcoinMagazine: Fiat in Venezuela is so worthless people leave it on the streets 

🇻🇪 needs #Bitcoin https://t.co/EbWUIf0QVm"
99,642a0e71-7327-11ed-9583-ab47568012fa,LivePriceCrypto,2022-12-03 16:22:54, 4077,, 1, 0, vaiotapi," #Bitcoin Last Price $16959 #BTC 🚀
Weekly Indicators:
•Change since Monday 00h00(UTC): +3.21%
•MACD:
 -MACD Line: -3… https://t.co/elZwvxdvrt"
100,64678ca1-7327-11ed-9583-ab47568012fa,CfdKiller,2022-12-03 16:21:22, 13,, 0, 1426, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
101,642f3e91-7327-11ed-9583-ab47568012fa,uarewhob,2022-12-03 16:22:40, 56,check👉, 0, 1423, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
102,64444d30-7327-11ed-9583-ab47568012fa,trayburn23,2022-12-03 16:22:20, 270,, 0, 554, Twitter Web App," RT @danheld: $69K: “Bitcoin is too expensive. I'll wait for a dip""

$17K: “Bitcoin is dead. I'll buy some later""

Every single cycle🤦‍♂️"
103,6da91630-7327-11ed-9583-ab47568012fa,ningmengfengmi7,2022-12-03 16:16:39, 206,中国陕西渭南蒲城, 0, 0, Twitter for Android, @LFGSwap We believe the foundation for the best decentralized network is Bitcoin’s PoW. The Satoshi Plus consensus… https://t.co/Ai8QxWUjWT
104,71e22c00-7327-11ed-9583-ab47568012fa,DKromus,2022-12-03 16:15:05, 75,, 0, 82, Twitter Web App, RT @PeterSchiff: #Gold is still down 2% in 2022 and #silver is down 1%. Many #Bitcoin pumpers will point to this decline in a year of high…
105,7545f075-7327-11ed-9583-ab47568012fa,BitcoinIsaiah,2022-12-03 16:14:19, 2764,, 0, 0, Twitter for iPhone," @tokenfox1 @JohnProperBTC @Mikethejohnson @Justin_Bons It’s not a problem though. If Bitcoin succeeds, fees will be… https://t.co/M9FrMI0mpj"
106,829eaff9-7327-11ed-9583-ab47568012fa,AD_2058,2022-12-03 16:10:14, 61,, 0, 1458, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
