,uuid,screen_name,created_at,followers,location,favorite,retweet,source,text
0,67cdc213-7327-11ed-9583-ab47568012fa,TMurray49172529,2022-12-03 16:18:33, 239,, 0, 2, Twitter for Android, RT @SharylAttkisson: Gabapentin; Mining for bitcoin; IRS Audits; Back to the Moon https://t.co/pC6D3ZPuw5
1,7f769501-7327-11ed-9583-ab47568012fa,Lord_Sammo,2022-12-03 16:11:02, 85,, 0, 160, Twitter for Android," RT @lucasvelascook: What should i buy in 2023? 
#Gold or #Bitcoin? 🚀🔥"
2,8a3e495b-7327-11ed-9583-ab47568012fa,Pakhirani1864,2022-12-03 16:08:17, 39,, 0, 337, Twitter for Android," RT @DappsDino: DinoDapps (DINO) Airdrop 
Total Rewards : 30,000,000 DINO 
Winners : 2,000 Random 
End : 01-03-2023 
Dist : 15-03-2023 

Air…"
3,6db06934-7327-11ed-9583-ab47568012fa,MasMiL0,2022-12-03 16:16:21, 426,Moon , 0, 1438, Twitter for iPhone, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
4,6a26f455-7327-11ed-9583-ab47568012fa,MtbCrypt,2022-12-03 16:17:42, 81,Brasil, 0, 3, Twitter for Android," RT @TechDev_52: Don't get me wrong, I expect #Bitcoin to move swiftly out of its correction.

A confirmed ""breakdown"" likely sends it to ne…"
5,7f3d3572-7327-11ed-9583-ab47568012fa,NuhuBal24871970,2022-12-03 16:11:36, 0,, 0, 1798, Twitter for Android," RT @willvfarrington: ""November was another arduous year for bitcoin miners, with difficulty hitting new all-time highs and bankruptcy fears…"
6,7b7509e0-7327-11ed-9583-ab47568012fa,MintuMi83554539,2022-12-03 16:12:22, 163,"California, USA", 0, 239, Twitter for Android," RT @BitcoinMagazine: Fiat in Venezuela is so worthless people leave it on the streets 

🇻🇪 needs #Bitcoin https://t.co/EbWUIf0QVm"
7,679d8a50-7327-11ed-9583-ab47568012fa,Kingbd22,2022-12-03 16:18:56, 2,, 0, 331, Twitter Web App," RT @DappsDino: DinoDapps (DINO) Airdrop 
Total Rewards : 30,000,000 DINO 
Winners : 2,000 Random 
End : 01-03-2023 
Dist : 15-03-2023 

Air…"
8,75140b00-7327-11ed-9583-ab47568012fa,DriverXag,2022-12-03 16:14:53, 11,"Boulder, CO", 0, 0, Twitter for iPhone, @JeffBooth Bitcoin is literally a simulation
9,8a3f0ca6-7327-11ed-9583-ab47568012fa,FulvioOlivieri,2022-12-03 16:07:47, 379,, 0, 0, Twitter for Android," RT @CryptoTipsEN: Veteran Trader Predicts $10k Bitcoin in 2023

#bitcoin #BTC #crypto #cryptocurrency #bottom #crash

https://t.co/fdLtZ0HR…"
10,8649b692-7327-11ed-9583-ab47568012fa,NicestDude,2022-12-03 16:08:39, 141,, 0, 72, Twitter Web App, RT @yeg0rpetrov: Swarm of #Bitcoin Cyber Hornets🐝 https://t.co/WjsKeU2hoj
11,647680c1-7327-11ed-9583-ab47568012fa,Alardax1,2022-12-03 16:20:33, 165,Africa , 2, 0, Twitter Web App," In just 10 years camera man and pilot both lost their jobs, so in the next 10 years #Fiat will lost and #Bitcoin wi… https://t.co/xTaNmOxpkK"
12,644dc310-7327-11ed-9583-ab47568012fa,liyong72237365,2022-12-03 16:22:11, 6,, 0, 0, Twitter for Android, I will give $200 #Bitcoin    to one person in next 72hr. Just retweet and make sure you are following me.
13,7f766de6-7327-11ed-9583-ab47568012fa,SigmaBitcoin,2022-12-03 16:11:18, 22,Cyberspace, 0, 72, Twitter for iPhone, RT @yeg0rpetrov: Swarm of #Bitcoin Cyber Hornets🐝 https://t.co/WjsKeU2hoj
14,644cd8b1-7327-11ed-9583-ab47568012fa,Shadowbv09,2022-12-03 16:22:12, 9,, 0, 1424, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
15,7f766df2-7327-11ed-9583-ab47568012fa,BillySc39828865,2022-12-03 16:11:14, 2646,"Shrewsbury, England", 0, 3, Twitter for Android," RT @BillySc39828865: @saylor With @ausminingtoken it's a case of wake up and mine the #Bitcoin

Renewable energy used for an ethical approa…"
16,7f766df3-7327-11ed-9583-ab47568012fa,StartUpsPal,2022-12-03 16:11:13, 1525,y^2=x^3+7, 0, 239, Twitter for iPhone," RT @BitcoinMagazine: Fiat in Venezuela is so worthless people leave it on the streets 

🇻🇪 needs #Bitcoin https://t.co/EbWUIf0QVm"
17,71e1dde1-7327-11ed-9583-ab47568012fa,royzkimochi,2022-12-03 16:15:13, 33,, 0, 332, Twitter for Android," RT @DappsDino: DinoDapps (DINO) Airdrop 
Total Rewards : 30,000,000 DINO 
Winners : 2,000 Random 
End : 01-03-2023 
Dist : 15-03-2023 

Air…"
18,8a3e4958-7327-11ed-9583-ab47568012fa,ArtourBabaev148,2022-12-03 16:08:18, 289,"Vancouver, Canada", 0, 1465, Twitter Web App, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
19,829ed703-7327-11ed-9583-ab47568012fa,RumenRkirilov,2022-12-03 16:10:05, 4,Sofia, 0, 1458, Twitter Web App, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
20,647a7862-7327-11ed-9583-ab47568012fa,LivePriceCrypto,2022-12-03 16:19:53, 4077,, 0, 0, vaiotapi," #Bitcoin Last Price $16958 #BTC 🚀
Daily Indicators:
-RSI: 47
-Moving Average(20): 16600
-MA(50): 18307
-MA(200): 21… https://t.co/RTDbbMzTcT"
21,645ba5c1-7327-11ed-9583-ab47568012fa,3mg_inotech3d,2022-12-03 16:21:42, 419,United States, 0, 0, IFTTT," This Week in Coins: Twitter Speculation Sends Dogecoin Higher, Bitcoin and Ethereum See Green https://t.co/EMqW8XJnjn"
22,644362d0-7327-11ed-9583-ab47568012fa,Donaldbriston,2022-12-03 16:22:20, 10,, 0, 157, Twitter for Android," RT @lucasvelascook: What should i buy in 2023? 
#Gold or #Bitcoin? 🚀🔥"
23,7f7646dd-7327-11ed-9583-ab47568012fa,BitcoinSapiens,2022-12-03 16:11:23, 20090,21 Million Citadels, 38, 4, Twitter Web App, The supply shock will be more shocking than you think. #Bitcoin
24,7b7530fa-7327-11ed-9583-ab47568012fa,Bitcoin_Tesla,2022-12-03 16:12:16, 91,, 0, 0, Twitter for iPhone, @ColdBloodShill oh god. they need to stop
25,64687702-7327-11ed-9583-ab47568012fa,hasnainhafiz84,2022-12-03 16:21:14, 131,Pakistan, 0, 9, Twitter for Android, RT @rovercrc: #BITCOIN WILL PUMP IF THE $SPX BREAKS THIS DOWNTREND!! https://t.co/kSVJ0R51tT
26,8649b6a0-7327-11ed-9583-ab47568012fa,CoinbitIO,2022-12-03 16:08:33, 888,🦡, 2, 0, Twitter for iPhone, @BTCnHODL Where is ‚living on a bitcoin standard‘?
27,67980c11-7327-11ed-9583-ab47568012fa,salehhathacks,2022-12-03 16:19:04, 13,"Bareta, India", 0, 0, Twitter for iPhone," I have 24/7 access to all hacking services
#Hack #coinbase #Hacking #bitcoin   #BEP2. {]}

Let me help you restore… https://t.co/a1yqGsFTq1"
28,67dcb631-7327-11ed-9583-ab47568012fa,Khadiza1432,2022-12-03 16:18:28, 33,, 0, 0, Twitter for Android," @AirdropStario Very good Project.I like there concept and project wishe best for them 
@Mouisla63686161
@Oisutv1… https://t.co/I4mCe3iGML"
29,7f374200-7327-11ed-9583-ab47568012fa,SuharniHarni19,2022-12-03 16:11:37, 109,, 0, 64, Twitter for Android," RT @Core_satoshi: Countdown: 10 days left to mine Core before app mining vanishes ⏳⏳⏳
#Bitcoin  #Core #Ethereum #CoreDAO #SatoshiPlusConsen…"
30,8a3f33b2-7327-11ed-9583-ab47568012fa,MonicaRhy24,2022-12-03 16:07:34, 23,Tgrg-IND, 0, 338, Twitter for Android," RT @DappsDino: DinoDapps (DINO) Airdrop 
Total Rewards : 30,000,000 DINO 
Winners : 2,000 Random 
End : 01-03-2023 
Dist : 15-03-2023 

Air…"
31,64447441-7327-11ed-9583-ab47568012fa,YannickMrCrypto,2022-12-03 16:22:19, 517,, 0, 0, Twitter Web App, @EthereanMaximus @bitcoin_hostel @udiWertheimer @ercwl I don't think you understand what bitcoiners know
32,6445acc0-7327-11ed-9583-ab47568012fa,Meta2140English,2022-12-03 16:22:18, 665,, 0, 0, Make (formerly Integromat)," Opposing The Corruptible Fiat System, Bitcoin Enforces Universal Human Rights
https://t.co/xpbPq20IWE #BTC #BITCOIN… https://t.co/Nah2mHvsf3"
33,86474595-7327-11ed-9583-ab47568012fa,StrawberryNG,2022-12-03 16:09:09, 2151,Nigeria, 0, 0, dlvr.it," This week saw misinformation on Twitter about potential ""insolvency"" of WETH. None of that was accurate. Here's how… https://t.co/Mo2lcuKACk"
34,7831ecd6-7327-11ed-9583-ab47568012fa,btctechsupport,2022-12-03 16:13:16, 205,"Austin, TX", 0, 2, Twitter for Android, RT @PBS_Plebs: Austin Bitcoin Club https://t.co/dg8FfjDF1x
35,64787c94-7327-11ed-9583-ab47568012fa,AS00000MI,2022-12-03 16:20:14, 65,, 0, 5, Twitter for Android," RT @TheBirbNest: #Amazon, #Meta, #Alphabet, #Tesla, and #Nvidia are down a combined $2.67 trillion in market value in the last year.

But t…"
36,7f76bc15-7327-11ed-9583-ab47568012fa,0xEthereumYoda,2022-12-03 16:10:50, 435,, 0, 0, Twitter Web App," #Ethereum price update: 

#ETH $1271.47 USD
#Bitcoin 0.07495359134326018 #BTC

Follow for recent ETH price updates… https://t.co/hE1SxKPs7F"
37,6465def1-7327-11ed-9583-ab47568012fa,MochammadTeuku,2022-12-03 16:21:27, 121,, 0, 330, Twitter for Android," RT @DappsDino: DinoDapps (DINO) Airdrop 
Total Rewards : 30,000,000 DINO 
Winners : 2,000 Random 
End : 01-03-2023 
Dist : 15-03-2023 

Air…"
38,829ed702-7327-11ed-9583-ab47568012fa,aWebAnalysis,2022-12-03 16:10:05, 5459,Blockchain, 0, 0, AwebAnalysis," Bitcoin BTC Current Price:
$16,969.23

1h: +0.10%
24h: +0.15%
7d: +2.76%

30d: -16.23%
60d: -15.55%
90d: -14.21%

#btc $BTC #bitcoin"
39,71db9c56-7327-11ed-9583-ab47568012fa,Pedro87251038,2022-12-03 16:15:34, 6,, 0, 303, Twitter for Android, RT @Breedlove22: #Bitcoin forever changes the way you see the world. https://t.co/Lp1lfC5GYY
40,67e89d10-7327-11ed-9583-ab47568012fa,cravitx0ung,2022-12-03 16:18:11, 38,just cravity, 0, 1435, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
41,64712990-7327-11ed-9583-ab47568012fa,0xruppa_bigwin,2022-12-03 16:20:45, 69,Moon, 0, 1426, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
42,64706642-7327-11ed-9583-ab47568012fa,mamun91bd,2022-12-03 16:20:53, 396,Bangladesh, 0, 1426, Twitter Web App, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
43,646ce3d3-7327-11ed-9583-ab47568012fa,Coinboard,2022-12-03 16:21:03, 6278,"London, United Kingdom", 0, 0, dlvr.it," This Week in Coins: Twitter Speculation Sends Dogecoin Higher, Bitcoin and Ethereum See Green https://t.co/xaB6cBMwM4 #Coins"
44,86476ca7-7327-11ed-9583-ab47568012fa,MallickM86,2022-12-03 16:08:49, 223,, 0, 337, Twitter for Android," RT @DappsDino: DinoDapps (DINO) Airdrop 
Total Rewards : 30,000,000 DINO 
Winners : 2,000 Random 
End : 01-03-2023 
Dist : 15-03-2023 

Air…"
45,75156a92-7327-11ed-9583-ab47568012fa,tmusgrave86,2022-12-03 16:14:49, 995,"Michigan, USA", 0, 1444, Twitter for Android, RT @Ashcryptoreal: I will give $200 #Bitcoin to one person in next 72hr. Just retweet and make sure you are following me.
46,6441dc32-7327-11ed-9583-ab47568012fa,goldminerpulse,2022-12-03 16:22:24, 16511,"Vancouver, British Columbia", 0, 23, Twitter for iPad," RT @InterstellarBit: To understand #Bitcoin, you must first break your mind free from the chains of fiat money"
